COUNTYFP,NAMELSAD,sutter_county
6067,Sacramento County,1
6009,Calaveras County,1
6097,Sonoma County,1
6061,Placer County,1
6075,San Francisco County,1
6041,Marin County,1
6055,Napa County,1
6053,Monterey County,1
6045,Mendocino County,1
6095,Solano County,1
6013,Contra Costa County,1
6017,El Dorado County,1
6113,Yolo County,1
6115,Yuba County,1
6069,San Benito County,1
6011,Colusa County,1
6085,Santa Clara County,1
6077,San Joaquin County,1
6001,Alameda County,1
6057,Nevada County,1
6007,Butte County,1
6047,Merced County,1
6099,Stanislaus County,1
6101,Sutter County,1
6005,Amador County,1
6033,Lake County,1
6081,San Mateo County,1
6087,Santa Cruz County,1
