sensitivity,subSetVar,subSet,ERConstraint,LRConstraint,QAIC,AkaikeWeight,run_date
21DayLag,fullSet,fullSet,3dfEvenKnots,3dfLogKnots,19659.33137668808,89.9,2021-11-10T19:53:25Z
21DayLag,fullSet,fullSet,3dfEvenKnots,4dfLogKnots,19665.11452206095,5,2021-11-10T19:53:25Z
21DayLag,fullSet,fullSet,4dfEvenKnots,3dfLogKnots,19665.217556798532,4.7,2021-11-10T19:53:25Z
21DayLag,fullSet,fullSet,4dfEvenKnots,4dfLogKnots,19672.751009357427,0.1,2021-11-10T19:53:25Z
21DayLag,fullSet,fullSet,5dfEvenKnots,3dfLogKnots,19670.8195534016,0.3,2021-11-10T19:53:26Z
21DayLag,fullSet,fullSet,5dfEvenKnots,4dfLogKnots,19679.76783859689,0,2021-11-10T19:53:26Z
fallOnly,catchmentArea,kpsc,3dfEvenKnots,3dfLogKnots,3907.8565325273394,NA,2021-11-10T19:52:50Z
fallOnly,catchmentArea,sutter,3dfEvenKnots,3dfLogKnots,998.87636004495,NA,2021-11-10T19:52:50Z
fallOnly,ice,iceQ1,3dfEvenKnots,3dfLogKnots,4165.413993453687,NA,2021-11-10T19:52:50Z
fallOnly,ice,iceQ234,3dfEvenKnots,3dfLogKnots,4377.322191414787,NA,2021-11-10T19:52:51Z
FandM,fullSet,fullSet,3dfEvenKnots,3dfLogKnots,19987.895106299773,NA,2021-11-10T19:52:54Z
main,catchmentArea,kpsc,3dfEvenKnots,3dfLogKnots,15744.191031758854,NA,2021-11-10T19:52:49Z
main,catchmentArea,sutter,3dfEvenKnots,3dfLogKnots,3934.3638450351464,NA,2021-11-10T19:52:50Z
main,fullSet,fullSet,3dfEvenKnots,3dfLogKnots,19659.994033248404,83.7,2021-11-10T19:52:46Z
main,fullSet,fullSet,3dfEvenKnots,4dfLogKnots,19664.60097001378,8.4,2021-11-10T19:52:47Z
main,fullSet,fullSet,4dfEvenKnots,3dfLogKnots,19664.883335059247,7.3,2021-11-10T19:52:47Z
main,fullSet,fullSet,4dfEvenKnots,4dfLogKnots,19671.455232962333,0.3,2021-11-10T19:52:47Z
main,fullSet,fullSet,5dfEvenKnots,3dfLogKnots,19670.469073728585,0.4,2021-11-10T19:52:47Z
main,fullSet,fullSet,5dfEvenKnots,4dfLogKnots,19678.74759486512,0,2021-11-10T19:52:48Z
main,ice,iceQ1,3dfEvenKnots,3dfLogKnots,16742.198859688688,NA,2021-11-10T19:52:50Z
main,ice,iceQ234,3dfEvenKnots,3dfLogKnots,17584.657295527482,NA,2021-11-10T19:52:50Z
main,season,fal,3dfEvenKnots,3dfLogKnots,4889.269886925911,NA,2021-11-10T19:52:49Z
main,season,spr,3dfEvenKnots,3dfLogKnots,4948.257107420259,NA,2021-11-10T19:52:49Z
main,season,sum,3dfEvenKnots,3dfLogKnots,4938.638672102335,NA,2021-11-10T19:52:49Z
main,season,win,3dfEvenKnots,3dfLogKnots,4939.03705400815,NA,2021-11-10T19:52:49Z
noRH,fullSet,fullSet,3dfEvenKnots,3dfLogKnots,19657.997110668744,NA,2021-11-10T19:52:51Z
RHdlnm,fullSet,fullSet,3dfEvenKnots,3dfLogKnots,19674.27053576521,NA,2021-11-10T19:52:51Z
